---Movies by imdb rating catogary---
rating_category	movie_count
Action|Adventure|Fantasy|Horror|Sci-Fi	75754670
Crime|Drama|History|Mystery|Thriller	33048353
Comedy|Drama	2886506223
Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi	145771527
Action|Drama|Romance|Sci-Fi|Thriller	140459099
Comedy|Crime|Sport	158115031
Comedy|Family|Fantasy|Romance	372999201
Adventure|Drama|History|Romance|War	95632614
Comedy|Family|Sci-Fi	139115881
Fantasy|Horror|Mystery|Thriller	170885103
Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi|Sport	90443603
Adventure|Comedy|Crime|Family|Mystery	82226474
Drama|Sci-Fi|Thriller	455712302
Action|Crime|Mystery|Romance|Thriller	90176801
Action|Adventure|Comedy|Romance	74329966
Adventure|Animation|Family|Western	73215310
Comedy|Family|Romance	474544883
Action|Adventure|Family|Sci-Fi|Thriller	69102910
Animation|Family|Fantasy|Music	60507228
Action|Adventure|Family|Fantasy|Thriller	50628009
Comedy|Fantasy	688605285
Action|Adventure|Comedy|Fantasy|Thriller	37899638
Drama|Horror|Mystery|Sci-Fi	25529689
Action|Sci-Fi|Thriller	691411948
Drama|History|Thriller	426549333
Adventure|Animation|Family	135225456
Drama|Musical|Romance	310842489
Documentary|Drama	19406406
Action|Adventure|Drama|History|Romance	32124818
Animation|Family	25529689
Adventure|Animation|Drama|Family|Musical	422783777
Animation|Comedy|Family|Fantasy|Sci-Fi	119793567
Adventure|Animation|Drama|Family|Fantasy	1339152
Sci-Fi|Thriller	208500401
Animation|Comedy|Family	683273341
Action|Crime|Fantasy|Thriller	178758668
Comedy|Drama|Family|Music|Musical|Romance	209379492
Horror|Mystery|Thriller	1002870058
Action|Adventure|Comedy|Family|Sci-Fi	585299988
Comedy|Family	1498228609
Biography|Comedy|Drama|History	136871707
Drama|Music|Musical	103338338
Comedy|Crime|Music	63863024
Action|Comedy|Romance|Thriller	47000485
Animation|Comedy|Family|Fantasy|Mystery	73661010
Comedy|Crime|Drama|Romance	95370186
Action|Adventure|Romance|Thriller	37600435
Drama|History|Romance	39251128
Action|Drama|Fantasy|Romance	83503161
Action|Adventure|Animation|Family|Sci-Fi	22751979
Action|Drama|Sci-Fi	14567883
Drama|Horror|Sci-Fi|Thriller	145090732
Animation|Comedy|Fantasy	5409517
Action|Animation|Comedy|Family	107225164
Action|Adventure|Comedy|Romance|Thriller	70224196
Action|Comedy|Sport	193503695
Biography|Drama|History|War	310632845
Adventure|Animation|Comedy	208662059
Action|Drama|Sport	140135894
Adventure|Drama|Family	122399868
Drama|Mystery|Romance|Thriller	239129766
Adventure|Animation|Comedy|Family|Fantasy|Romance	486621655
Adventure|Drama|War	120523073
Action|Adventure|Crime|Thriller	455981774
Fantasy|Mystery|Romance|Sci-Fi|Thriller	100614858
Drama|Fantasy|Mystery|Thriller	57318423
Animation|Comedy|Family|Fantasy|Music	436939727
Drama|Horror|Romance|Thriller	70612000
Drama|War	384973996
Drama	2388146679
Action|Drama|Fantasy|Horror|War	55942830
Adventure|Family|Fantasy|Romance	69203217
Adventure|Biography|Drama|History|War	63734450
Action|Adventure|Horror|Sci-Fi	179340527
Action|Fantasy|Horror	195687202
Comedy|Drama|Musical|Romance	60961551
Action|Sci-Fi|Sport	18990542
Action|Adventure|Animation|Comedy|Crime|Family|Fantasy	13596911
Adventure|Animation|Family|Fantasy|Musical	8460990
Action|Crime|Mystery|Sci-Fi|Thriller	25121291
Action|Comedy|Crime|Drama|Thriller	254600370
Adventure|Drama|History|Romance	617840
Biography|Drama|Thriller	155907441
Action|Drama|History|Thriller	27550735
Action|Adventure|Fantasy|War	5932060
Comedy|Fantasy|Romance	724562948
Action|Adventure|Comedy|Romance|Thriller|Western	93771072
Biography|Drama|Sport|War	115603980
Comedy|Drama|Family|Musical	85911262
Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller	52397389
Drama|Sport	728158307
Action|Fantasy|Sci-Fi|Thriller	19059018
Drama|Mystery|Romance	63593922
Adventure|Biography|Drama|History|Sport|Thriller	43247140
Crime|Drama|Fantasy	2208939
Adventure|Biography|Crime|Drama|Western	25052000
Action|War	77086030
Comedy|Romance|Sport	147282908
Crime|Drama|Mystery|Thriller|Western	54116191
Comedy|Sport	709972110
Comedy|Drama|Family	579486275
Crime|Drama|Fantasy|Mystery	136801374
Adventure|Animation|Biography|Drama|Family|Fantasy|Musical	101217900
Drama|Romance|Western	149630500
Documentary|Music	209313418
Drama|Thriller	1105848067
Animation|Family|Fantasy	75280058
Action|Fantasy|Horror|Sci-Fi	59035104
Biography|Comedy|Drama	126693027
Action|Horror|Sci-Fi	267123769
Adventure|Comedy	488211355
Biography|Drama|History|Sport	101850959
Comedy|Crime|Romance|Thriller	139271334
Comedy|Crime|Romance	184157800
Horror|Mystery|Sci-Fi|Thriller	51338807
Biography|Drama|Music	224502774
Drama|Fantasy|Sport	30695227
Adventure|Comedy|Drama|Music	32522352
Action|Fantasy|Horror|Sci-Fi|Thriller	29136626
Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance	26288320
Horror|Sci-Fi|Thriller	207623245
Drama|Fantasy|Mystery|Romance|Thriller	30063805
Action|Adventure|Drama|History|Romance|War	13082288
Drama|Fantasy|Mystery|Romance	22451
Fantasy|Horror|Mystery|Romance	31165421
Adventure|Comedy|Family|Romance|Sci-Fi	11802056
Drama|Horror|Thriller	208882597
Action|Comedy|Mystery|Romance	7605668
Action|Adventure|Comedy|Romance|Sci-Fi	379320037
Action|Biography|Drama|History|Thriller|War	350123553
Adventure|Comedy|Family|Fantasy|Horror	80021740
Comedy|Family|Romance|Sci-Fi	35231365
Action|Adventure|Thriller|War	204131043
Comedy|Drama|Romance|Sport	388832195
Comedy|Western	68145374
Action|Comedy|Crime|Drama	28328132
Drama|Music|Romance|War	25528495
Action|Comedy|Drama|Family|Thriller	113006880
Action|Crime	75962756
Adventure|Animation|Drama|Family|History|Musical|Romance	141600000
Action|Adventure|Drama|Romance|Sci-Fi	134218018
Action|Adventure|Comedy|Family|Romance	105263257
Action|Adventure|Comedy|Western	56932305
Biography|Drama|History|Musical	49994804
Adventure|Drama|Horror|Thriller	38553833
Action|Drama|Sport|Thriller	18573791
Drama|Musical|Romance|Thriller	51225796
Comedy|Drama|Family|Fantasy	212775417
Adventure|Comedy|Crime|Family|Musical	51178893
Drama|Music|Musical|Romance	122976491
Drama|Mystery|Romance|War	57089555
Crime|Drama|Romance	27036687
Crime|Horror|Mystery|Thriller	58933644
Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance	58297830
Action|Horror|Thriller	193163442
Drama|History|Horror	22843047
Drama|Romance|Sport	112763800
Comedy|Family|Musical|Romance	143704210
Romance|Sci-Fi|Thriller	62453315
Biography|Comedy|Drama|Romance	135014968
Mystery|Sci-Fi|Thriller	222636551
Drama|Fantasy|Horror	170839031
Adventure|Comedy|Drama|Fantasy|Musical	127997349
Horror|Mystery	903228598
Action|Adventure|Family|Fantasy|Sci-Fi|Thriller	67128202
Adventure|Comedy|Family|Fantasy|Romance|Sport	66002004
Adventure|Horror|Mystery	46982632
Crime|Drama|Romance|Thriller	296041247
Comedy|Crime|Drama|Thriller	94603839
Drama|Fantasy	46381382
Adventure|Comedy|Drama	211082519
Action|Biography|Drama|History|War	20389967
Adventure|Comedy|Fantasy	54980046
Adventure|Comedy|Crime|Drama|Family	16671505
Action|Biography|Crime|Drama|Thriller	10137232
Comedy|Sci-Fi	150079816
Action|Adventure|Comedy|Crime|Music|Mystery	21413502
Comedy|Drama|Music	144131075
Action|Crime|Drama|Sci-Fi|Thriller	98037583
Horror|Thriller	564553813
Action|Adventure|Comedy|Drama|War	60652036
Drama|Mystery|Sci-Fi	75702879
Crime|Drama|Music	25900000
Adventure|Crime|Drama|Western	53574088
Comedy|Drama|Thriller	60154431
Drama|Romance|War	271437528
Action|Comedy|Crime|Music|Romance|Thriller	103738726
Crime|Romance|Thriller	69304264
Action|Adventure|Drama|Sci-Fi|Thriller	92001027
Action|Drama|Fantasy|Thriller|Western	10539414
Action|Drama|Mystery|Thriller|War	58918501
Biography|Crime|Drama|Thriller	16516147
Action|Comedy|Crime|Romance	240949197
Action|Adventure|Family|Fantasy|Sci-Fi	101702060
Adventure|Comedy|Family|Musical	88625922
Action|Horror	150498113
Action|Adventure|Horror|Thriller	97084382
Comedy|Drama|Music|Romance	193327756
Action|Crime|Drama|Romance|Thriller	95350917
Comedy|Family|Romance|Sport	52580895
Drama|Family|Fantasy	73235546
Drama|Fantasy|Musical|Romance	24343673
Adventure|Comedy|Family|Fantasy|Sci-Fi	46115877
Comedy|Musical	89077727
Biography|Drama|History	634917049
Action|Crime|Drama|Thriller|War	7916887
Comedy|Crime|Thriller	178627252
Action|Animation|Comedy|Family|Fantasy	25529689
Biography|Drama|History|Thriller	136019448
Action|Adventure|Crime|Drama|Mystery|Thriller	183875760
Animation|Family|Fantasy|Musical	84300000
Adventure|Drama|Western	356740195
Biography|Drama|History|Romance	353023582
Drama|Horror|Mystery|Thriller	314478529
Action|Fantasy|Western	5664251
Drama|Music	375292611
Action|Drama|Family|Sport	90800000
Action|Biography|Drama|Thriller|War	125069696
Comedy|Drama|Sport	151644957
Adventure|Comedy|Sci-Fi|Western	87666629
Fantasy|Horror|Romance	82522790
Biography|Drama|Romance	356571164
Action|Adventure|Drama|Romance|War	97984964
Adventure|Comedy|Crime|Romance	66808615
Comedy|Drama|Family|Fantasy|Romance	179118611
Horror	974879866
Comedy|Music	530210668
Action|Adventure|Drama|Romance|Thriller	54228104
Biography|Drama|Music|Musical	181600169
Drama|History	93962323
Comedy|Music|Romance	148920050
Action|Adventure|Crime|Fantasy|Mystery|Thriller	32055248
Adventure|Drama|Mystery	31836745
Biography|Crime|Drama|Music	30981850
Crime|Drama|Horror|Thriller	161395818
Adventure|Animation|Comedy|Drama|Family|Fantasy|Musical	22717758
Action|Adventure|Comedy|Music|Thriller	14375181
Adventure|Animation|Comedy|Crime|Family	20999103
Comedy|Romance|Sci-Fi|Thriller	14358033
Comedy|Crime|Family|Romance	14018364
Crime|Horror|Thriller	45929658
Action|Horror|Mystery|Sci-Fi|Thriller	10326062
Comedy|Fantasy|Sci-Fi	4777007
Adventure|Animation|Comedy|Fantasy|Romance	511920
Action|Adventure|Family|Thriller	652526
Adventure|Comedy|Drama|Romance|Thriller|War	876671
Adventure|Animation|Comedy|Fantasy|Music|Romance	25529689
Action|Drama|Fantasy	51361333
Action|Adventure|Drama|Fantasy|War	6498000
Drama|Fantasy|Romance|Sci-Fi	202170189
Animation|Comedy|Family|Horror|Sci-Fi	35287788
Biography|Drama|Romance|Sport	8575575
Action|Biography|Drama	6594136
Adventure|Drama	91956227
Horror|Mystery|Sci-Fi	53847793
Action|Adventure|Drama|Thriller|Western	623374
Adventure|Family|Fantasy|Sci-Fi	7871693
Adventure|Comedy|History|Romance	25529689
Action|Biography|Drama|Sport	52433398
Drama|Family	157484063
Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller	23360779
Biography|Comedy|Romance	2954405
Action|Biography|Drama|History	2126511
Biography|Drama|War	129119101
Adventure|Comedy|Family|Sci-Fi	63939454
Biography|Drama|Family|History|Sport	59699513
Biography|Comedy|Drama|History|Music	83299761
Fantasy|Horror	368213779
Comedy|Drama|Family|Sport	101752805
Comedy|Drama|Romance|Sci-Fi	26494611
Adventure|Animation|Comedy|Family|War	19447478
Action|Comedy|Sci-Fi|Thriller	26896009
Comedy|Horror	88126311
